"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010631","GO:0010631","epithelial cell migration","29/608","371/18614",1.42176687239307e-05,0.000667131568138802,0.00051080130431745,"7026/285/4208/388/4627/11156/9839/5747/7114/6093/506/2113/2303/5728/284/9475/3164/25959/56999/5872/3688/1942/4780/1969/3091/1960/7422/3146/10982",29
"GO:0007044","GO:0007044","cell-substrate junction assembly","13/608","96/18614",1.42321401202944e-05,0.000667131568138802,0.00051080130431745,"2824/5747/6093/5728/7094/9475/7414/10395/8874/87/395/7422/3987",13
"GO:0007596","GO:0007596","blood coagulation","21/608","224/18614",1.53107761460362e-05,0.000709721993694489,0.000543411430961546,"10398/5154/3569/857/150/1465/4627/114897/2316/7035/966/7094/7414/5478/948/10627/4780/7056/5328/5592/8761",21
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","15/608","126/18614",1.56474237387372e-05,0.000709721993694489,0.000543411430961546,"7168/9510/4208/1363/6909/182/2296/2303/650/1909/2274/6604/23462/3091/23493",15
"GO:0036003","GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","6/608","18/18614",1.57237770244811e-05,0.000709721993694489,0.000543411430961546,"467/468/1649/4780/3091/7422",6
"GO:0036499","GO:0036499","PERK-mediated unfolded protein response","6/608","18/18614",1.57237770244811e-05,0.000709721993694489,0.000543411430961546,"23645/8440/468/1649/4780/5770",6
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","13/608","97/18614",1.59520330738386e-05,0.000709721993694489,0.000543411430961546,"10398/3569/1465/4627/114897/2316/80139/7094/7414/5478/3716/10627/5592",13
"GO:0048568","GO:0048568","embryonic organ development","33/608","453/18614",1.60142398577218e-05,0.000709721993694489,0.000543411430961546,"5154/7026/80781/2/2034/4208/7262/6909/9021/2487/2296/2303/3576/468/9775/347733/28996/1909/1749/10155/1942/677/6134/6169/23462/1969/3976/3091/1889/23493/5930/7422/10253",33
"GO:0090132","GO:0090132","epithelium migration","29/608","374/18614",1.65364570727411e-05,0.000718430113854092,0.000550078960048931,"7026/285/4208/388/4627/11156/9839/5747/7114/6093/506/2113/2303/5728/284/9475/3164/25959/56999/5872/3688/1942/4780/1969/3091/1960/7422/3146/10982",29
"GO:0006986","GO:0006986","response to unfolded protein","16/608","142/18614",1.65772448432054e-05,0.000718430113854092,0.000550078960048931,"595/467/3329/3306/23645/8440/4189/468/1649/9709/3336/4780/5770/3301/11080/10399",16
"GO:0010922","GO:0010922","positive regulation of phosphatase activity","8/608","36/18614",1.66696160986421e-05,0.000718430113854092,0.000550078960048931,"4208/4659/805/23645/3672/5159/6093/650",8
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","35/608","495/18614",1.68002118932034e-05,0.000718430113854092,0.000550078960048931,"59/6347/5154/3569/6355/4208/150/114897/4616/858/6366/3672/5159/8654/6093/650/284/9475/10174/28996/5478/1942/6188/948/960/5770/3976/3276/54910/10344/3082/7422/3146/920/10253",35
"GO:0071559","GO:0071559","response to transforming growth factor beta","24/608","280/18614",1.74985535501646e-05,0.000741786509191759,0.000567962204932573,"59/5154/1284/857/4208/56937/858/80139/3621/9839/5747/463/6093/650/9475/6774/28996/7041/677/23089/51742/11171/3987/10253",24
"GO:0003208","GO:0003208","cardiac ventricle morphogenesis","11/608","71/18614",1.78226080724412e-05,0.000742745224759016,0.000568696262779049,"7168/4208/1363/182/2296/2303/1909/6604/23462/3091/23493",11
"GO:0034620","GO:0034620","cellular response to unfolded protein","13/608","98/18614",1.78516676778442e-05,0.000742745224759016,0.000568696262779049,"595/467/3329/3306/23645/8440/4189/468/1649/9709/4780/5770/10399",13
"GO:1903900","GO:1903900","regulation of viral life cycle","16/608","143/18614",1.81123651088659e-05,0.000742745224759016,0.000568696262779049,"9636/684/8519/10581/26986/3428/3576/5478/10410/10155/1654/3838/81603/5819/3146/920",16
"GO:0055001","GO:0055001","muscle cell development","19/608","192/18614",1.81306013838611e-05,0.000742745224759016,0.000568696262779049,"10398/4629/7168/1465/25802/858/81/8470/5159/5573/3688/1909/2274/1466/7528/3192/87/23493/7422",19
"GO:0043542","GO:0043542","endothelial cell migration","24/608","283/18614",2.08542461322977e-05,0.000847203749124596,0.00064867681390463,"7026/285/4208/388/4627/11156/5747/7114/506/2113/2303/284/9475/3164/56999/5872/3688/1942/4780/1969/3091/1960/7422/3146",24
"GO:0050817","GO:0050817","coagulation","21/608","229/18614",2.13723145337032e-05,0.000848006858597045,0.000649291729141187,"10398/5154/3569/857/150/1465/4627/114897/2316/7035/966/7094/7414/5478/948/10627/4780/7056/5328/5592/8761",21
"GO:0035850","GO:0035850","epithelial cell differentiation involved in kidney development","9/608","48/18614",2.14145278440219e-05,0.000848006858597045,0.000649291729141187,"59/4208/182/1910/2303/1909/2828/3976/171023",9
"GO:0051017","GO:0051017","actin filament bundle assembly","17/608","161/18614",2.14724550360793e-05,0.000848006858597045,0.000649291729141187,"171024/7168/800/2059/9124/4430/2316/6093/3925/9475/5074/10174/10395/7430/7082/87/395",17
"GO:0048863","GO:0048863","stem cell differentiation","22/608","247/18614",2.1569815480212e-05,0.000848006858597045,0.000649291729141187,"2/81606/4208/6909/182/6201/1910/2487/2296/2303/6774/3688/1909/3911/388585/3192/4780/3976/54910/3091/221662/9221",22
"GO:0000028","GO:0000028","ribosomal small subunit assembly","6/608","19/18614",2.23479698643063e-05,0.000864653595940422,0.000662037603498998,"6193/6223/6232/6208/6169/6234",6
"GO:1901522","GO:1901522","positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus","6/608","19/18614",2.23479698643063e-05,0.000864653595940422,0.000662037603498998,"468/650/1749/4780/3091/7422",6
"GO:0007599","GO:0007599","hemostasis","21/608","230/18614",2.28163527890453e-05,0.000875824565721227,0.000670590857770034,"10398/5154/3569/857/150/1465/4627/114897/2316/7035/966/7094/7414/5478/948/10627/4780/7056/5328/5592/8761",21
"GO:0070527","GO:0070527","platelet aggregation","11/608","73/18614",2.33493781203137e-05,0.000889282955754135,0.000680895516567701,"10398/3569/1465/4627/114897/2316/7094/7414/5478/10627/5592",11
"GO:0008016","GO:0008016","regulation of heart contraction","20/608","213/18614",2.37477594689665e-05,0.000890540980086244,0.000681858745562391,"2034/7168/23704/552/84525/857/10060/6909/805/2316/10052/1910/8654/5350/482/476/1909/23493/3270/6330",20
"GO:0031396","GO:0031396","regulation of protein ubiquitination","20/608","213/18614",2.37477594689665e-05,0.000890540980086244,0.000681858745562391,"857/9636/27338/6201/7128/6187/5728/284/51035/6125/5478/9709/1654/6188/6500/819/57162/1027/3301/10253",20
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","21/608","231/18614",2.43474192005663e-05,0.000906058538952372,0.000693740044075597,"1983/6193/6125/6223/6232/6147/6628/6128/3646/6208/29997/6134/6169/27335/8667/51386/8666/6234/11171/8669/6430",21
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","8/608","38/18614",2.54321754277837e-05,0.00093925647886701,0.000719158644871777,"2034/467/8440/468/1649/4780/3091/7422",8
"GO:0045926","GO:0045926","negative regulation of growth","22/608","252/18614",2.93678168450509e-05,0.00107425132013256,0.000822519877180037,"4489/85004/1026/694/684/4502/3621/4499/2487/5728/1654/7528/604/1032/58189/3475/54910/3091/4494/5515/1027/10399",22
"GO:0061572","GO:0061572","actin filament bundle organization","17/608","165/18614",2.95281388508231e-05,0.00107425132013256,0.000822519877180037,"171024/7168/800/2059/9124/4430/2316/6093/3925/9475/5074/10174/10395/7430/7082/87/395",17
"GO:0050673","GO:0050673","epithelial cell proliferation","34/608","488/18614",2.99083246397858e-05,0.00108002283421449,0.000826938940917587,"6347/3569/7026/857/4208/441478/595/687/6909/182/8013/858/5228/7128/80139/1910/4609/283131/567/650/3164/6774/1749/3911/677/388585/1969/3091/1960/1027/10344/3082/7422/3146",34
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","11/608","75/18614",3.02991104068743e-05,0.00108608943554053,0.000831583943519941,"595/467/23645/8440/4189/468/1649/9709/4780/5770/10399",11
"GO:0006469","GO:0006469","negative regulation of protein kinase activity","20/608","217/18614",3.10576585818535e-05,0.00110515390939077,0.000846181001392644,"7026/857/2167/1026/4616/7128/10614/4869/5728/650/5573/5577/5478/55450/5770/1032/1027/3301/10399/10253",20
"GO:0007263","GO:0007263","nitric oxide mediated signal transduction","7/608","29/18614",3.19566214357152e-05,0.00112890238767472,0.00086436445164795,"2977/8654/2982/948/2983/7422/389692",7
"GO:0070252","GO:0070252","actin-mediated cell contraction","13/608","104/18614",3.39869895948708e-05,0.001183701383536,0.000906322290098498,"59/7168/23704/857/10060/3764/2316/10052/5350/6093/4637/476/6330",13
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","28/608","369/18614",3.39934756297519e-05,0.001183701383536,0.000906322290098498,"5154/7026/56892/857/4208/150/595/1026/805/7128/10614/5159/8654/5728/650/29950/5573/5577/1654/6188/902/5770/1032/5515/1027/3301/7422/10253",28
"GO:0007162","GO:0007162","negative regulation of cell adhesion","25/608","312/18614",3.6571861379953e-05,0.00126445265409412,0.000968150955231903,"285/441478/114897/182/81/80139/6366/8654/5747/506/5728/650/284/5573/5074/7045/10395/3659/8651/604/57162/395/7422/3146/5592",25
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","23/608","278/18614",4.53918524590074e-05,0.00155392141718429,0.00118978792881738,"6347/6236/23704/857/4208/483/150/10060/805/2040/81/3306/5350/7114/482/81671/3688/1909/2669/7402/7533/3270/6330",23
"GO:0140467","GO:0140467","integrated stress response signaling","8/608","41/18614",4.55816949040726e-05,0.00155392141718429,0.00118978792881738,"1052/51776/23645/8440/468/1649/4780/5770",8
"GO:0052548","GO:0052548","regulation of endopeptidase activity","26/608","336/18614",4.6410848419593e-05,0.0015712005975383,0.0012030180445605,"54205/2/7078/2597/5274/3329/4609/3428/9475/3164/6774/10395/23204/1654/3336/1942/6188/960/55075/1032/10541/3082/8301/10399/7422/3146",26
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","28/608","376/18614",4.74004682586286e-05,0.0015936364328332,0.00122019644606241,"171024/7168/2059/11034/25802/2316/90952/10092/6366/4131/8440/7114/6093/3925/5204/9475/10174/7408/10395/8874/5202/6188/7082/2288/58526/1027/10344/395",28
"GO:0009895","GO:0009895","negative regulation of catabolic process","26/608","337/18614",4.87803499962969e-05,0.00162174586026575,0.00124171893560104,"54541/150/7078/2316/6201/8140/26986/8531/6093/51035/6125/6774/3182/28996/4904/3183/2521/1982/10140/3192/29997/819/8667/3082/221662/4170",26
"GO:0070301","GO:0070301","cellular response to hydrogen peroxide","12/608","93/18614",4.93198622057939e-05,0.00162174586026575,0.00124171893560104,"3569/388/8013/7128/5074/6188/23135/4780/328/10276/3082/10399",12
"GO:0071901","GO:0071901","negative regulation of protein serine/threonine kinase activity","14/608","123/18614",4.9430287901144e-05,0.00162174586026575,0.00124171893560104,"7026/857/1026/7128/10614/5728/650/5573/5577/5770/1032/1027/3301/10253",14
"GO:1903201","GO:1903201","regulation of oxidative stress-induced cell death","11/608","79/18614",4.96838452249485e-05,0.00162174586026575,0.00124171893560104,"8013/468/5074/5478/6421/4780/135112/3091/3082/10399/4170",11
"GO:1903522","GO:1903522","regulation of blood circulation","22/608","261/18614",4.99962116914025e-05,0.00162174586026575,0.00124171893560104,"2034/7168/23704/552/84525/857/150/10060/6909/805/2316/10052/1910/8654/5350/482/476/1909/1889/23493/3270/6330",22
"GO:0071453","GO:0071453","cellular response to oxygen levels","17/608","172/18614",5.02325384410518e-05,0.00162174586026575,0.00124171893560104,"2034/857/378938/4609/468/9475/28996/677/29997/4780/665/3091/1027/80315/4720/3727/7422",17
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","30/608","419/18614",5.31513199982807e-05,0.00170468871705012,0.00130522562821263,"6347/7026/857/4208/441478/595/687/182/8013/858/5228/7128/80139/1910/4609/283131/567/650/3164/6774/1749/3911/677/388585/3091/1960/1027/10344/7422/3146",30
"GO:1900407","GO:1900407","regulation of cellular response to oxidative stress","12/608","94/18614",5.48875906315559e-05,0.00174886930933879,0.00133905329466458,"8013/468/5074/5478/6421/948/4780/135112/3091/3082/10399/4170",12
"GO:0003207","GO:0003207","cardiac chamber formation","5/608","14/18614",5.73044207633382e-05,0.00181401981312515,0.00138893695165275,"4208/6909/650/1909/6604",5
"GO:0030099","GO:0030099","myeloid cell differentiation","30/608","421/18614",5.79765900698473e-05,0.00182345726832584,0.00139616290925418,"2034/4208/292/4627/9636/182/2316/221395/4609/3428/567/2113/650/6223/6774/28996/6194/8651/604/677/6208/87/1969/3976/3276/55904/3091/7422/920/8761",30
"GO:0007015","GO:0007015","actin filament organization","31/608","442/18614",5.89546222489137e-05,0.00184233194527855,0.00141061464571287,"7169/171024/7168/800/2059/11034/9124/4430/25802/2316/90952/10092/6366/8440/7114/6093/3925/7171/9475/1072/5074/10174/7408/10395/7430/65108/7082/2195/87/10344/395",31
"GO:0014033","GO:0014033","neural crest cell differentiation","12/608","95/18614",6.09902869315609e-05,0.00189380668019974,0.00145002720388411,"4208/182/6201/1910/2487/2296/2303/1909/3911/54910/3091/9221",12
"GO:0045736","GO:0045736","negative regulation of cyclin-dependent protein serine/threonine kinase activity","7/608","32/18614",6.32917049493029e-05,0.00195282950397374,0.00149521909227334,"7026/1026/7128/10614/5728/1032/1027",7
"GO:0060047","GO:0060047","heart contraction","21/608","247/18614",6.50923342112797e-05,0.00199575553006282,0.00152808617751207,"2034/7168/23704/552/84525/857/10060/3764/6909/805/2316/10052/1910/8654/5350/482/476/1909/23493/3270/6330",21
"GO:0048872","GO:0048872","homeostasis of number of cells","24/608","304/18614",6.58417285145942e-05,0.00200601854573927,0.00153594424036523,"3569/2034/4208/292/9636/7128/221395/567/2113/6223/6774/28996/6194/604/677/6208/819/171023/3276/55904/3091/7422/3146/6229",24
"GO:0052372","GO:0052372","modulation by symbiont of entry into host","9/608","55/18614",6.62500483823637e-05,0.00200601854573927,0.00153594424036523,"857/8519/10581/3576/10410/81603/5819/3146/920",9
"GO:0008380","GO:0008380","RNA splicing","32/608","466/18614",6.71947091481802e-05,0.00202206300677394,0.00154822897101655,"4691/3178/26986/3189/54407/9775/6427/6428/4904/3183/220988/6421/1655/6628/2521/3187/9939/3192/6432/3181/3190/6207/4670/55119/84081/3276/3185/9584/5515/11171/221662/6430",32
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","12/608","96/18614",6.76700221903136e-05,0.00202387336305386,0.001549615102918,"26986/8531/3182/4904/3183/2521/10140/3192/6432/3181/3190/221662",12
"GO:0052547","GO:0052547","regulation of peptidase activity","30/608","425/18614",6.88319673090774e-05,0.0020460721989741,0.00156661204157887,"54205/2/857/7078/2597/7035/5274/3329/4609/3428/51035/9475/3164/6774/10395/23204/1654/3336/1942/6188/960/55075/1032/58189/10541/3082/8301/10399/7422/3146",30
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","32/608","467/18614",6.996433923298e-05,0.00206464861345824,0.00158083540800495,"6347/3400/2059/9510/595/1026/805/27338/51776/3306/4609/5728/1164/25959/91607/10263/3688/6194/1654/677/29997/902/328/6604/1032/55904/23476/5515/1027/64859/571/6154",32
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","25/608","325/18614",7.11146898832095e-05,0.00206464861345824,0.00158083540800495,"4691/3178/26986/3189/9775/6427/6428/3183/220988/6421/1655/6628/3187/9939/3192/6432/3181/3190/4670/84081/3185/9584/11171/221662/6430",25
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","25/608","325/18614",7.11146898832095e-05,0.00206464861345824,0.00158083540800495,"4691/3178/26986/3189/9775/6427/6428/3183/220988/6421/1655/6628/3187/9939/3192/6432/3181/3190/4670/84081/3185/9584/11171/221662/6430",25
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","19/608","212/18614",7.11509676022531e-05,0.00206464861345824,0.00158083540800495,"26986/4869/8531/6093/9475/9775/7832/3182/4904/3183/2521/9939/677/26135/10140/3192/328/221662/8761",19
"GO:0006402","GO:0006402","mRNA catabolic process","22/608","268/18614",7.41498838917507e-05,0.00213893895841589,0.00163771714905106,"26986/4869/8531/6093/9475/9775/7832/3182/10957/4904/3183/1655/2521/3646/9939/677/26135/10140/3192/328/221662/8761",22
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","26/608","346/18614",7.5534426795587e-05,0.00216606076840286,0.00165848345149939,"5154/171024/7168/2059/11034/397/2824/25802/2316/684/90952/10092/6366/5159/8440/7114/6093/3925/9475/10174/7408/10395/23433/7082/10344/395",26
"GO:1904030","GO:1904030","negative regulation of cyclin-dependent protein kinase activity","7/608","33/18614",7.80866363144272e-05,0.00222615410545516,0.00170449499766672,"7026/1026/7128/10614/5728/1032/1027",7
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","11/608","83/18614",7.88848331853165e-05,0.00223583466150243,0.00171190708981109,"54541/1026/6201/4609/3428/28996/1655/960/1984/3190/6154",11
"GO:0009615","GO:0009615","response to virus","29/608","408/18614",8.0236205041647e-05,0.00226056543646588,0.0017308426532163,"59/3569/6355/54541/10060/3764/9636/684/7128/8519/10581/9188/3428/4953/3925/1072/91607/10410/58515/3659/10155/1654/3716/1984/81603/665/3091/6210/8165",29
"GO:1902806","GO:1902806","regulation of cell cycle G1/S phase transition","19/608","214/18614",8.07023557304204e-05,0.00226056543646588,0.0017308426532163,"6347/56892/9510/595/6909/1026/5728/25959/91607/10263/1654/902/328/6604/1032/55904/5515/1027/6154",19
"GO:0090066","GO:0090066","regulation of anatomical structure size","33/608","492/18614",8.15992537332472e-05,0.00226056543646588,0.0017308426532163,"2059/552/857/11034/150/25802/90952/23645/10092/6366/3672/4131/1910/8440/7114/6093/2296/2303/5728/9475/7408/2982/7430/1909/171023/3475/54910/10344/1889/8301/7422/5592/23011",33
"GO:0006939","GO:0006939","smooth muscle contraction","13/608","113/18614",8.16122085780502e-05,0.00226056543646588,0.0017308426532163,"4629/4638/857/6752/150/6909/1264/1910/6093/9475/2982/1909/5592",13
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","23/608","289/18614",8.22707827224737e-05,0.00226556229895788,0.00173466859100775,"6347/6236/23704/857/4208/483/150/10060/805/2040/81/3306/5350/7114/482/81671/3688/1909/2669/7402/7533/3270/6330",23
"GO:0043534","GO:0043534","blood vessel endothelial cell migration","17/608","179/18614",8.28528708292807e-05,0.00226556229895788,0.00173466859100775,"285/4208/4627/7114/506/2113/2303/284/3164/3688/1942/4780/1969/3091/1960/7422/3146",17
"GO:1900102","GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response","5/608","15/18614",8.3651531038445e-05,0.00226556229895788,0.00173466859100775,"23645/8440/4189/5770/10399",5
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","5/608","15/18614",8.3651531038445e-05,0.00226556229895788,0.00173466859100775,"26986/8531/4904/3192/7555",5
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","25/608","329/18614",8.64964112901052e-05,0.00232966853612852,0.00178375268644788,"4691/3178/26986/3189/9775/6427/6428/3183/220988/6421/1655/6628/3187/9939/3192/6432/3181/3190/4670/84081/3185/9584/11171/221662/6430",25
"GO:0072132","GO:0072132","mesenchyme morphogenesis","9/608","57/18614",8.8453716861849e-05,0.0023650823357766,0.00181086790017033,"59/6909/72/4609/2296/2303/650/23462/23493",9
"GO:0048659","GO:0048659","smooth muscle cell proliferation","17/608","180/18614",8.87815522968447e-05,0.0023650823357766,0.00181086790017033,"3569/7168/4854/9510/4208/1026/8013/7128/1264/5159/5728/650/57447/1649/388585/1027/5592",17
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","28/608","390/18614",8.936580994797e-05,0.00236770827987149,0.0018128785015761,"10398/4629/7168/1465/25802/2316/5159/4869/6193/6125/5573/6223/3688/7430/1466/1654/6232/6147/6188/6128/3192/6208/29997/6134/6169/6234/10982/2959",28
"GO:0045861","GO:0045861","negative regulation of proteolysis","25/608","330/18614",9.07793869663293e-05,0.00239215952141003,0.0018316000351784,"2/7078/2597/7035/5274/6201/3428/6093/51035/6125/3164/28996/23204/1654/1942/960/29997/1032/58189/819/8667/3082/5328/8301/7422",25
"GO:1904706","GO:1904706","negative regulation of vascular associated smooth muscle cell proliferation","8/608","45/18614",9.1669186051894e-05,0.00240261979571496,0.00183960913265431,"7168/4208/1026/1264/5728/57447/1027/5592",8
"GO:0035966","GO:0035966","response to topologically incorrect protein","16/608","164/18614",9.68490171090672e-05,0.00252480726420697,0.00193316416925839,"595/467/3329/3306/23645/8440/4189/468/1649/9709/3336/4780/5770/3301/11080/10399",16
"GO:0031397","GO:0031397","negative regulation of protein ubiquitination","11/608","85/18614",9.83061120249428e-05,0.00254916114958296,0.00195181116036085,"857/9636/6201/7128/51035/6125/5478/6188/819/3301/10253",11
"GO:0061005","GO:0061005","cell differentiation involved in kidney development","9/608","58/18614",0.000101708535440283,0.00262343444588032,0.00200867984779306,"59/4208/182/1910/2303/1909/2828/3976/171023",9
"GO:0072009","GO:0072009","nephron epithelium development","13/608","116/18614",0.000106989844219752,0.00274217449393221,0.00209959530482777,"4208/182/1910/4609/2296/2303/650/1909/3911/388585/3976/171023/7422",13
"GO:0035307","GO:0035307","positive regulation of protein dephosphorylation","8/608","46/18614",0.000107828957162946,0.00274217449393221,0.00209959530482777,"4659/805/23645/3672/5159/10395/5478/23261",8
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","29/608","415/18614",0.000107999487761022,0.00274217449393221,0.00209959530482777,"6347/3569/857/441478/8013/3329/6366/8440/8654/6093/567/2113/5573/3133/5074/3688/7430/58515/3659/8651/604/6188/960/6604/57162/4860/1960/3146/920",29
"GO:0045069","GO:0045069","regulation of viral genome replication","11/608","86/18614",0.00010945714889986,0.00276478549682288,0.00211690782655524,"9636/684/8519/10581/26986/3428/3576/5478/10410/10155/1654",11
"GO:0003205","GO:0003205","cardiac chamber development","16/608","166/18614",0.000111774933747605,0.0028087773299978,0.00215059096619103,"7168/9510/4208/1363/6909/182/2296/2303/650/1909/8543/2274/6604/23462/3091/23493",16
"GO:0035633","GO:0035633","maintenance of blood-brain barrier","7/608","35/18614",0.000116144510942212,0.00289315357012429,0.00221519515458262,"3569/90952/284/7414/3688/7082/7422",7
"GO:0030168","GO:0030168","platelet activation","14/608","133/18614",0.000116319610203972,0.00289315357012429,0.00221519515458262,"10398/5154/3569/150/1465/4627/114897/2316/7094/7414/5478/10627/7056/5592",14
"GO:0010232","GO:0010232","vascular transport","11/608","87/18614",0.000121668847573245,0.00299563450464429,0.00229366152841428,"552/10060/3764/6542/2171/8140/482/54407/28232/948/6515",11
"GO:0150104","GO:0150104","transport across blood-brain barrier","11/608","87/18614",0.000121668847573245,0.00299563450464429,0.00229366152841428,"552/10060/3764/6542/2171/8140/482/54407/28232/948/6515",11
"GO:0000027","GO:0000027","ribosomal large subunit assembly","6/608","25/18614",0.000123411290026219,0.00300157780098292,0.00229821212033154,"6125/6147/6128/29997/6134/6169",6
"GO:0086064","GO:0086064","cell communication by electrical coupling involved in cardiac conduction","6/608","25/18614",0.000123411290026219,0.00300157780098292,0.00229821212033154,"857/805/10052/482/476/3270",6
"GO:0045766","GO:0045766","positive regulation of angiogenesis","17/608","185/18614",0.000124373069907395,0.00300157780098292,0.00229821212033154,"285/388/694/51129/5228/2113/2303/3576/6774/28996/3688/3716/7082/4780/3091/3082/7422",17
"GO:1904018","GO:1904018","positive regulation of vasculature development","17/608","185/18614",0.000124373069907395,0.00300157780098292,0.00229821212033154,"285/388/694/51129/5228/2113/2303/3576/6774/28996/3688/3716/7082/4780/3091/3082/7422",17
"GO:0001701","GO:0001701","in utero embryonic development","28/608","398/18614",0.000126164507479872,0.00302981267962748,0.0023198306638508,"7026/2034/84525/7262/4627/9021/8531/2296/650/284/4071/689/23764/3688/1909/10155/4904/4678/677/92521/23462/3976/84081/3276/3091/23493/5930/7422",28
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","13/608","118/18614",0.000127464827104358,0.00303761493305937,0.00232580459975785,"595/467/3329/3306/23645/8440/4189/468/1649/9709/4780/5770/10399",13
"GO:0003015","GO:0003015","heart process","21/608","259/18614",0.000127735602313266,0.00303761493305937,0.00232580459975785,"2034/7168/23704/552/84525/857/10060/3764/6909/805/2316/10052/1910/8654/5350/482/476/1909/23493/3270/6330",21
"GO:2000045","GO:2000045","regulation of G1/S transition of mitotic cell cycle","17/608","186/18614",0.000132828796562908,0.00313802482061935,0.00240268523917219,"6347/9510/595/1026/5728/25959/91607/10263/1654/902/328/6604/1032/55904/5515/1027/6154",17
"GO:0003179","GO:0003179","heart valve morphogenesis","9/608","60/18614",0.000133245361613991,0.00313802482061935,0.00240268523917219,"4208/182/6093/650/9475/56999/1942/23462/23493",9
"GO:0008630","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","12/608","103/18614",0.000134672065991827,0.00314127426655578,0.00240517323599607,"54541/1026/1396/3428/28996/6188/960/3190/1032/1969/4170/6154",12
"GO:1902882","GO:1902882","regulation of response to oxidative stress","12/608","103/18614",0.000134672065991827,0.00314127426655578,0.00240517323599607,"8013/468/5074/5478/6421/948/4780/135112/3091/3082/10399/4170",12
"GO:0045165","GO:0045165","cell fate commitment","22/608","281/18614",0.000147785628343187,0.00343073780082398,0.0026268062060398,"3569/7026/2034/4854/4208/6909/182/2303/650/6774/7041/3688/1909/8543/56603/388585/64641/23135/3475/23493/4170/10253",22
"GO:0003007","GO:0003007","heart morphogenesis","21/608","262/18614",0.000150014149352085,0.00345382577536808,0.00264448392970693,"7168/9510/4208/1363/6909/182/2316/5747/2296/2303/650/10395/1909/2274/1942/6604/23462/171023/3091/23493/7422",21
"GO:0050878","GO:0050878","regulation of body fluid levels","26/608","361/18614",0.000150197141410878,0.00345382577536808,0.00264448392970693,"10398/5154/3569/857/150/595/1465/4627/114897/2316/7035/1910/966/7094/7414/5478/55107/948/10627/4780/7056/3091/5328/7422/5592/8761",26
"GO:0043903","GO:0043903","regulation of biological process involved in symbiotic interaction","9/608","61/18614",0.000151845125597561,0.00346356936751849,0.00265194428657934,"857/8519/10581/3576/10410/81603/5819/3146/920",9
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","25/608","341/18614",0.000152041814286966,0.00346356936751849,0.00265194428657934,"59/6347/5154/6355/467/7078/6366/5159/4609/5728/650/284/57447/7430/948/960/677/5770/1847/1969/3976/10344/3146/920/10253",25
"GO:0072010","GO:0072010","glomerular epithelium development","6/608","26/18614",0.000156034650299718,0.00352161537134781,0.00269638825517934,"182/1910/2296/2303/1909/171023",6
"GO:1903901","GO:1903901","negative regulation of viral life cycle","6/608","26/18614",0.000156034650299718,0.00352161537134781,0.00269638825517934,"684/8519/10581/5478/10410/81603",6
"GO:0048662","GO:0048662","negative regulation of smooth muscle cell proliferation","10/608","75/18614",0.000157353032857838,0.00353500477042378,0.00270664008980787,"7168/4208/1026/7128/1264/5728/650/57447/1027/5592",10
"GO:0010950","GO:0010950","positive regulation of endopeptidase activity","16/608","171/18614",0.000158199446381912,0.00353771697757717,0.00270871674007852,"54205/3329/4609/3428/9475/6774/10395/1654/3336/1942/6188/55075/10541/8301/10399/3146",16
"GO:0035909","GO:0035909","aorta morphogenesis","7/608","37/18614",0.000168036993569959,0.00374054951439978,0.00286401912616715,"4638/6909/182/5159/56999/23462/23493",7
"GO:0061028","GO:0061028","establishment of endothelial barrier","8/608","49/18614",0.000171003883501539,0.00378929060031819,0.00290133861672946,"1910/6093/9475/7414/7430/1909/7082/7422",8
